,Individual_ID,Timestamp,Latitude,Longitude,geometry,hour
201516,OST097,2025-12-23 19:50:20.281890+00:00,-20.843971,16.591048,POINT (665542.9608713812 7694302.358401163),2025-12-23 19:00:00+00:00
201518,OST097,2025-12-23 20:49:37.222494+00:00,-20.846204,16.594534,POINT (665903.2886032759 7694051.569262233),2025-12-23 20:00:00+00:00
201520,OST097,2025-12-23 21:49:40.229384+00:00,-20.846899,16.59747,POINT (666208.0606029537 7693971.6011373885),2025-12-23 21:00:00+00:00
201522,OST097,2025-12-23 22:50:06.096362+00:00,-20.845425,16.60105,POINT (666582.2359970032 7694131.076091124),2025-12-23 22:00:00+00:00
201524,OST097,2025-12-23 23:49:37.291437+00:00,-20.846162,16.604514,POINT (666941.9075126917 7694045.898331372),2025-12-23 23:00:00+00:00
201529,OST097,2025-12-24 19:50:06.279935+00:00,-20.850695,16.603911,POINT (666874.1551096159 7693544.705293556),2025-12-24 19:00:00+00:00
201531,OST097,2025-12-24 20:49:41.189140+00:00,-20.85448,16.603689,POINT (666846.8773764032 7693125.923061628),2025-12-24 20:00:00+00:00
201533,OST097,2025-12-24 21:49:42.267212+00:00,-20.853768,16.595585,POINT (666004.3592402725 7693213.127463464),2025-12-24 21:00:00+00:00
201535,OST097,2025-12-24 22:50:06.983642+00:00,-20.855713,16.585791,POINT (664983.0750551746 7693007.8857647125),2025-12-24 22:00:00+00:00
201536,OST097,2025-12-24 23:49:42.195322+00:00,-20.850718,16.578966,POINT (664278.303847342 7693567.829129307),2025-12-24 23:00:00+00:00
201538,OST097,2025-12-25 00:49:43.281726+00:00,-20.844153,16.579542,POINT (664345.3753633288 7694294.002111258),2025-12-25 00:00:00+00:00
201540,OST097,2025-12-25 18:50:06.624294+00:00,-20.836633,16.582377,POINT (664648.5843532056 7695123.586874134),2025-12-25 18:00:00+00:00
201542,OST097,2025-12-25 19:49:47.236256+00:00,-20.831656,16.584707,POINT (664896.49194372 7695672.168411424),2025-12-25 19:00:00+00:00
201544,OST097,2025-12-25 20:49:47.503339+00:00,-20.823959,16.590923,POINT (665551.8364536171 7696517.869102524),2025-12-25 20:00:00+00:00
201546,OST097,2025-12-25 21:49:51.170959+00:00,-20.818132,16.598103,POINT (666305.5315153771 7697155.539243006),2025-12-25 21:00:00+00:00
201548,OST097,2025-12-25 22:50:08.243818+00:00,-20.813751,16.600483,POINT (666558.0687084935 7697638.070334582),2025-12-25 22:00:00+00:00
201550,OST097,2025-12-25 23:49:48.170540+00:00,-20.813281,16.596791,POINT (666174.2923670023 7697693.911569657),2025-12-25 23:00:00+00:00
201552,OST097,2025-12-26 20:50:23.294689+00:00,-20.809708,16.59345,POINT (665830.4441792612 7698092.892680011),2025-12-26 20:00:00+00:00
201556,OST097,2025-12-26 21:49:52.251307+00:00,-20.805995,16.591553,POINT (665637.0420638237 7698505.880988532),2025-12-26 21:00:00+00:00
201559,OST097,2025-12-26 23:50:00.266518+00:00,-20.811314,16.587325,POINT (665191.1416753794 7697921.39356774),2025-12-26 23:00:00+00:00
201561,OST097,2025-12-27 00:50:26.214554+00:00,-20.813309,16.59274,POINT (665752.6018354722 7697694.983229082),2025-12-27 00:00:00+00:00
201563,OST097,2025-12-27 21:50:49.263113+00:00,-20.812242,16.594568,POINT (665944.0426679186 7697811.22189521),2025-12-27 21:00:00+00:00
201565,OST097,2025-12-27 23:49:55.988345+00:00,-20.815382,16.600239,POINT (666530.8788801188 7697457.766151151),2025-12-27 23:00:00+00:00
201567,OST097,2025-12-28 00:50:00.302880+00:00,-20.823163,16.601348,POINT (666637.752103538 7696595.240275229),2025-12-28 00:00:00+00:00
201569,OST097,2025-12-28 01:49:57.247286+00:00,-20.830533,16.603841,POINT (666889.1046942458 7695776.777581269),2025-12-28 01:00:00+00:00
201573,OST097,2025-12-28 16:50:46.121255+00:00,-20.832871,16.599536,POINT (666438.4861305085 7695522.409109027),2025-12-28 16:00:00+00:00
201575,OST097,2025-12-29 18:50:38.141174+00:00,-20.834085,16.593278,POINT (665785.8587574086 7695394.471432446),2025-12-29 18:00:00+00:00
201577,OST097,2025-12-29 19:50:07.297720+00:00,-20.836726,16.587281,POINT (665158.8491053334 7695108.268760681),2025-12-29 19:00:00+00:00
201581,OST097,2025-12-29 21:50:08.259284+00:00,-20.836283,16.589229,POINT (665362.0643321371 7695155.310527964),2025-12-29 21:00:00+00:00
201584,OST097,2025-12-30 16:50:51.739681+00:00,-20.832598,16.585715,POINT (665000.3727477711 7695566.854239073),2025-12-30 16:00:00+00:00
201586,OST097,2025-12-30 17:50:34.658841+00:00,-20.831528,16.591185,POINT (665570.8295159555 7695679.691691342),2025-12-30 17:00:00+00:00
201588,OST097,2025-12-30 18:50:10.199057+00:00,-20.838396,16.591581,POINT (665604.5294050195 7694918.978195894),2025-12-30 18:00:00+00:00
201590,OST097,2025-12-30 19:50:13.169898+00:00,-20.841779,16.596489,POINT (666111.5942333861 7694539.413550118),2025-12-30 19:00:00+00:00
201592,OST097,2025-12-30 20:50:34.151871+00:00,-20.839478,16.600515,POINT (666533.1057858812 7694789.981541022),2025-12-30 20:00:00+00:00
201594,OST097,2025-12-30 21:50:13.297579+00:00,-20.832916,16.603217,POINT (666821.5352736571 7695513.618466781),2025-12-30 21:00:00+00:00
201597,OST097,2026-01-01 17:51:22.284573+00:00,-20.832607,16.601969,POINT (666691.9903436229 7695549.118111493),2026-01-01 17:00:00+00:00
201598,OST097,2026-01-01 18:50:52.686522+00:00,-20.834633,16.609361,POINT (667459.0714189194 7695317.163493136),2026-01-01 18:00:00+00:00
201602,OST097,2026-01-01 19:50:24.245656+00:00,-20.837936,16.61272,POINT (667804.9933946145 7694948.012463305),2026-01-01 19:00:00+00:00
201604,OST097,2026-01-01 20:50:43.342327+00:00,-20.835033,16.616052,POINT (668154.9852425493 7695265.908815999),2026-01-01 20:00:00+00:00
201606,OST097,2026-01-01 21:50:52.421066+00:00,-20.834429,16.623139,POINT (668893.230505964 7695325.356442679),2026-01-01 21:00:00+00:00
